Process ID: [2339268] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt
    save_dir: ./fact/sinstruct_sharegpt
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339268] | Loading data from ./sft2/sinstruct_sharegpt/Bio-Medical.json | Total 200
Process ID: [2339268] | Loading exist data from ./fact/sinstruct_sharegpt/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:09<32:33,  9.81s/it]  1%|▋                                                              | 2/200 [00:17<28:46,  8.72s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:33<39:28, 12.02s/it]  2%|█▎                                                             | 4/200 [00:40<32:57, 10.09s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 4 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:47<29:02,  8.93s/it]  3%|█▉                                                             | 6/200 [00:56<28:34,  8.84s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 6 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  4%|██▏                                                            | 7/200 [01:05<28:46,  8.94s/it]  4%|██▌                                                            | 8/200 [01:14<28:21,  8.86s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 8 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  4%|██▊                                                            | 9/200 [01:19<24:59,  7.85s/it]  5%|███                                                           | 10/200 [01:28<25:35,  8.08s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 10 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  6%|███▍                                                          | 11/200 [01:34<23:46,  7.55s/it]  6%|███▋                                                          | 12/200 [02:10<50:45, 16.20s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 12 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  6%|████                                                          | 13/200 [02:16<40:10, 12.89s/it]  7%|████▎                                                         | 14/200 [02:22<34:07, 11.01s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 14 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  8%|████▋                                                         | 15/200 [02:31<31:48, 10.32s/it]  8%|████▉                                                         | 16/200 [02:41<30:59, 10.11s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 16 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [02:46<26:12,  8.59s/it]  9%|█████▌                                                        | 18/200 [02:53<24:54,  8.21s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 18 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [02:59<22:28,  7.45s/it] 10%|██████▏                                                       | 20/200 [03:00<16:59,  5.66s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 20 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [03:06<17:13,  5.77s/it] 11%|██████▊                                                       | 22/200 [03:20<24:24,  8.23s/it]Process ID: [2339268] | Model: llama-7b | File: Bio-Medical | Saving 22 items to ./fact/sinstruct_sharegpt/Bio-Medical.json
