Process ID: [2339269] | Arguments:
    all_files: True
    file: Bio-Medical
    model: llama-7b
    temperature: 1.0
    top_p: 1.0
    early_stopping: False
    do_sample: False
    num_beams: 1
    top_k: 50
    data_dir: ./sft2/sinstruct_sharegpt_flan_10k
    save_dir: ./fact/sinstruct_sharegpt_flan_10k
    assist_model: gpt-4
    prompt_path: ./prompt/generate_fact_ins.txt
Process ID: [2339269] | Loading data from ./sft2/sinstruct_sharegpt_flan_10k/Bio-Medical.json | Total 200
Process ID: [2339269] | Loading exist data from ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json | Total 0
  0%|                                                                       | 0/200 [00:00<?, ?it/s]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 0 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  0%|▎                                                              | 1/200 [00:01<05:30,  1.66s/it]  1%|▋                                                              | 2/200 [00:08<14:49,  4.49s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 2 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  2%|▉                                                              | 3/200 [00:17<21:29,  6.55s/it]  2%|█▎                                                             | 4/200 [00:26<25:16,  7.74s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 4 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  2%|█▌                                                             | 5/200 [00:34<25:35,  7.87s/it]  3%|█▉                                                             | 6/200 [00:35<17:32,  5.42s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 6 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  4%|██▏                                                            | 7/200 [00:46<23:09,  7.20s/it]  4%|██▌                                                            | 8/200 [00:47<17:00,  5.32s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 8 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  4%|██▊                                                            | 9/200 [00:48<12:49,  4.03s/it]  5%|███                                                           | 10/200 [00:56<16:04,  5.08s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 10 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  6%|███▍                                                          | 11/200 [00:59<14:04,  4.47s/it]  6%|███▋                                                          | 12/200 [01:08<18:22,  5.86s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 12 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  6%|████                                                          | 13/200 [01:16<20:08,  6.46s/it]  7%|████▎                                                         | 14/200 [01:17<15:03,  4.86s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 14 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  8%|████▋                                                         | 15/200 [01:18<11:56,  3.87s/it]  8%|████▉                                                         | 16/200 [01:26<15:28,  5.05s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 16 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
  8%|█████▎                                                        | 17/200 [01:29<12:50,  4.21s/it]  9%|█████▌                                                        | 18/200 [01:36<15:24,  5.08s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 18 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 10%|█████▉                                                        | 19/200 [01:43<17:06,  5.67s/it] 10%|██████▏                                                       | 20/200 [01:52<20:13,  6.74s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 20 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
 10%|██████▌                                                       | 21/200 [01:58<19:53,  6.67s/it] 11%|██████▊                                                       | 22/200 [02:09<23:42,  7.99s/it]Process ID: [2339269] | Model: llama-7b | File: Bio-Medical | Saving 22 items to ./fact/sinstruct_sharegpt_flan_10k/Bio-Medical.json
